Key,Id,English(en),Korean (South Korea)(ko-KR)
"dmg_boost_per_defeat",,"Gem of Damage Boost per Defeat","패배 시 대미지 증가의 보석"
"dmg_boost_per_defeat-description",,"Increase damage by {0}% per every defeat","패배 당 입히는 피해량이 {0}%만큼 증가한다"
"evade_first_n",,"Gem of Evade First N","첫 N번째 공격 회피의 보석"
"evade_first_n-description",,"Evade first {0} attacks","첫 {0}번의 공격을 회피한다"
"dmg_gradual_increase",,"Gem of Gradual Damage Increase","점진적 대미지 증가의 보석"
"dmg_gradual_increase-description",,"Decrease damage by {0}% and gradually increase damage by {1}% every turn","피해량이 {0}%만큼 감소하지만 매 턴당 입히는 피해량이 {1}%만큼 증가한다"
"dmg_gradual_decrease",,"Gem of Gradual Damage Decrease","점진적 대미지 감소의 보석"
"dmg_gradual_decrease-description",,"Increase damage by {0}% and gradually decrease damage by {1}% every turn","피해량이 {0}%만큼 증가하지만 매 턴당 입히는 피해량이 {1}%만큼 감소한다"
"dmg_drop_boost_monster_codex",,"Bookworm","공부벌레"
"dmg_drop_boost_monster_codex-description",,"Deal more damage by {0}% and drop rate by {1}% to monsters killed over 100","100마리 이상 처치한 몬스터에 대해 피해량이 {0}%만큼 증가하고 드랍 확률이 {1}%만큼 증가한다"
"reduce_dmg_higher_level",,"Gem of Reduce Damage on Higher Level","레벨이 높은 몬스터 대미지 감소의 보석"
"reduce_dmg_higher_level-description",,"Reduce damage by {0}% on higher level","자신보다 레벨이 높은 몬스터에게 받는 피해랭이 {0}%만큼 감소한다"
"execute_lower_level",,"Gem of Execute on Lower Level","레벨이 낮은 몬스터 처형의 보석"
"execute_lower_level-description",,"Execute on lower level with {0}% probability","레벨이 낮은 몬스터를 {0}% 확률로 처형한다"
"stat_boost_atk_per_hp",,"Gem of Stat Boost per HP","체력당 스탯 증가의 보석"
"stat_boost_atk_per_hp-description",,"Increase ATK stat by {0} per directly invested HP","직접 투자한 HP 스탯의 {0}%만큼 ATK 스탯이 증가한다"
"heal_every_turn",,"Healing Shrine","치유의 성소"
"heal_every_turn-description",,"Heal {0}% of HP every turn","매 턴마다 {0}% 체력을 회복한다"
"weak_every_hit",,"Curse Doll","저주인형"
"weak_every_hit-description",,"Weaken enemy attack by {0}% on every hit","매 공격마다 적의 공격력을 {0}%만큼 감소시킨다"
"dmg_boost_when_low_hp",,"Gem of Damage Boost when Low HP","저체력 시 대미지 증가의 보석"
"dmg_boost_when_low_hp-description",,"Increase damage by {0}% when HP is below {1}%","체력이 {0}% 이하일 때 입히는 피해량이 {1}%만큼 증가한다"
"crit_first_n",,"Gem of Critical First N","첫 N번째 공격 치명타의 보석"
"crit_first_n-description",,"Critical hit on first {0} attacks","첫 {0}번째 공격이 반드시 치명타로 적중한다"
"chain_first",,"Chain of Chain","연쇄의 고리"
"chain_first-description",,"First attack lands {0} chains","첫 번째 공격이 반드시 {0}번의 연쇄로 적중한다"
"reflect",,"Thornmail","가시 갑옷"
"reflect-description",,"Reflect {0}% of received damage","입은 피해의 {0}%만큼을 반사한다"
"execute",,"Guillotine","단두대"
"execute-description",,"Execute enemy with {0}% probability","적을 {0}% 확률로 처형한다"
"drain",,"Recovery Necklace","회복의 목걸이"
"drain-description",,"Drain {0}% of damage","가한 피해량의 {0}%만큼 체력을 회복한다"
"dmg_boost_when_full_hp",,"Gem of Damage Boost when Full HP","체력 가득 시 대미지 증가의 보석"
"dmg_boost_when_full_hp-description",,"Increase damage by {0}% when HP is full","체력이 가득 찼을 때 대미지가 {0}% 증가한다"
"fixed_dmg_per_hit",,"Gem of Fixed Damage per Hit","타격당 고정 피해의 보석"
"fixed_dmg_per_hit-description",,"Increase stack every hit deal {0} fixed damage per stack","매 타격마다 스택을 쌓고 쌓은 스택당 {0}만큼의 고정 피해를 가한다"
"stat_boost_collect_weapon",,"Gem of Stat Boost per Collect Weapon","무기 수집 시 스탯 증가의 보석"
"stat_boost_collect_weapon-description",,"Increase all stats by {0} per fully collected weapon","최대로 수집한 무기당 {0}만큼의 스탯이 증가한다"
"stat_boost_collect_armor",,"Gem of Stat Boost per Collect Armor","방어구 수집 시 스탯 증가의 보석"
"stat_boost_collect_armor-description",,"Increase all stats by {0} per fully collected armor","최대로 수집한 방어구당 {0}만큼의 스탯이 증가한다"
"stat_point_boost",,"Gem of Stat Point Boost","스탯 포인트 증가의 보석"
"stat_point_boost-description",,"Increase stat point gain by {0}","스탯 포인트 획득량이 {0}만큼 증가한다"
"fixed_dmg_enemy_hp",,"Gem of Fixed Damage per Enemy HP","적 체력당 고정 피해의 보석"
"fixed_dmg_enemy_hp-description",,"Deal {0} fixed damage per enemy HP","적 체력의 {0}%만큼의 고정 피해를 가한다"
"dmg_boost_per_kill",,"Gem of Damage Boost per Kill","킬 시 대미지 증가의 보석"
"dmg_boost_per_kill-description",,"Increase damage by {0}% per kill","처치 당 피해량이 {0}% 증가한다"
"restart_with_gold",,"Time Machine","타임 머신"
"restart_with_gold-description",,"Restart with owned gold","보유한 골드를 유지한 채로 재시작한다"
