Key,Id,English(en),Korean (South Korea)(ko-KR)
"high-mountain-4_0",39092736310640640,"Rock Golem","바위 골렘"
"high-mountain-5_0",39092781034504192,"Rock Warrior","바위 전사"
"desert-0_0",39092852631273472,"Small Sand Storm","작은 모래 폭풍"
"desert-1_0",39092951491018752,"Dunerug","듄러그"
"desert-2_0",39092952854167552,"Scorpion","전갈"
"desert-3_0",39093329951457280,"Miniramid","미니라미드"
"desert-4_0",39093931553062912,"Sandripper","샌드리퍼"
"pyramid-0_0",39093932341592064,"Bat","박쥐"
"pyramid-1_0",39093934010925056,"Albino Bat","알비노 박쥐"
"pyramid-2_0",39095231170740224,"Skeleton Soldier","스켈레톤 졸병"
"pyramid-2_1",39095339794825216,"Skeleton Brawler","스켈레톤 싸움꾼"
"pyramid-3_0",39095428391108608,"Skeleton Trooper","스켈레톤 돌격병"
"pyramid-4_0",39095673053249536,"Skeleton Shield","스켈레톤 방패병"
"pyramid-5_0",39095789973667840,"Skeleton Guardian Dog","스켈레톤 수호견"
"pyramid-5_1",39096538111672320,"Skeleton Guardian Captain","스켈레톤 수호대장"
"pyramid-5_2",39096644743462912,"Skeleton Shaman","스켈레톤 주술사"
"pyramid-5_3",39096849350000640,"Mimic","미믹"
"forest-lake-0_0",39096897056014336,"Small Cubeslime","소형 큐브슬라임"
"forest-lake-1_0",39096970456334336,"Medium Cubeslime","중형 큐브슬라임"
"forest-lake-2_0",39097039045787648,"Brown Cubeslime","갈색 큐브슬라임"
"forest-lake-3_0",39097110067937280,"Green Cubeslime","녹색 큐브슬라임"
"lake-0_0",39097170910511104,"Miniduck","미니덕"
"lake-1_0",39097219795124224,"Brownduck","브라운덕"
"lake-2_0",39097287415693312,"Dwarf Wanderer","드워프 뜨내기"
"lake-3_0",39097413701992448,"Grass Mauler","그래스 마울러"
"lake-4_0",39097416080162816,"Fat Wolf","살찐 늑대"
"lake-5_0",39097615599009792,"Dwarf Brawler","드워프 사냥꾼"
"lake-6_0",39098144127451136,"Dwarf Warrior","드워프 전사"
"lake-7_0",39098205955686400,"Lunapell","루나펠"
"lake-8_0",39098443357487104,"Velosha","벨로샤"
"lake-deep-forest-0_0",39098713164480512,"Sticky Slime","끈적이"
"lake-deep-forest-1_0",39098714473103360,"Giant Sticky Slime","큰 끈적이"
"lake-deep-forest-2_0",39098716020801536,"Dark Rock Spirit","어둠 바위 정령"
"lake-deep-forest-3_0",39098761692577792,"Stirge","스티지"
"deep-forest-0_0",39098770458673152,"Mud Golem","진흙 골렘"
"deep-forest-1_0",39099307841290240,"Stumpy","스텀피"
"deep-forest-2_0",39099310643085312,"Gromtree","그롬트리"
"deep-forest-3_0",39099312962535424,"Shadown Crow","섀도우 크로우"
"deep-forest-4_0",39099314652839936,"Darktail","다크테일"
"deep-forest-5_0",39099316829683712,"Lunar Stirge","루나 스티지"
"forest-ice-0_0",39099400787066880,"Snowman","스노우맨"
"forest-ice-1_0",39120998202081281,"Snow Toad","눈 두꺼비"
"forest-ice-2_0",39120998202081280,"Icebit","아이스빗"
"forest-ice-3_0",39121189382651904,"Ice Crawler","아이스 크롤러"
"ice-0_0",39121333062729728,"Foggler","포글러"
"ice-1_0",39121511068991488,"Ice Drakker","아이스 드래커"
"ice-2_0",39121580660883456,"Ice Wisp","얼음 위습"
"ice-3_0",39121729256685568,"Snow Golem","눈 골렘"
"ice-4_0",39121773082968064,"Ice Slime","얼음 슬라임"
"ice-5_0",39121968818552832,"Frost Magician","서리 마법사"
"ice-6_0",39122019749986304,"Glacial Golem","빙하 골렘"
"ice-7_0",39122247509082112,"Ice Draggon","아이스 드래곤"
"deep-forest-swamp-0_0",39191850000056320,"Sludge Golem","슬러지 골렘"
"deep-forest-swamp-1_0",39192413970366464,"Murk Guard","머크 가드"
"deep-forest-swamp-2_0",39192468957691904,"Gloomroot","글룸루트"
"deep-forest-swamp-3_0",39192850106679296,"Murk Orb","머크 오브"
"swamp-0_0",39192930524069888,"Poison Slime","독 슬라임"
"swamp-1_0",39193164708839424,"Muddy Howler","머디 하울러"
"swamp-2_0",39193316588781568,"Moss Bandit","모스밴딧"
"swamp-3_0",39193492275593216,"Swamp Snapper","늪지 스내퍼"
"swamp-4_0",39193783737778176,"Swamp Growler","늪지 그로울러"
"swamp-5_0",39194017670889472,"Tentacle","촉수"
"swamp-6_0",39194069478932480,"Swamp Reaper","늪지 리퍼"
"swamp-7_0",39194784465158144,"Bogrin","보그린"
"swamp-7_1",39194785895415808,"Bograk","보그락"
"swamp-8_0",39194870108651520,"Mudrog","머드로그"
"swamp-deep-forest-0_0",39195018427629568,"Onryo","원령"
"swamp-deep-forest-0_1",39195047766786048,"Pure Onryo","순수한 원령"
"cemetery-0_0",39195260791291904,"The Revived One","되살아난 존재"
"cemetery-0_1",39195306987356160,"The Rotten One","부패한 존재"
"cemetery-0_2",39195356769550336,"Graveyard Keeper","무덤지기"
"secret-hallway-0_0",39195571471777792,"Sewer Slug","하수구 슬러그"
"secret-hallway-1_0",39195776275447808,"Sewer Snake","하수구 뱀"
"secret-hallway-2_0",39195888263364608,"Rotten Apple","썩은 사과"
"secret-hallway-3_0",39195949533757440,"Giant Maggot","거대 구더기"
"castle-0_0",39196123396046848,"Triple Eyes","트리플 아이즈"
"castle-0_1",39196189590552576,"Flying Eye","플라잉 아이"
"castle-0_2",39196240995942400,"Hepta Eyes","헵타 아이즈"
"castle-1_0",39204105357885440,"Ownerless Hand","주인 없는 손"
"castle-1_1",39204220629942272,"Ownerless Foot"," 주인 없는 발"
"castle-2_0",39205240902778880,"Ownerless Eye","주인 없는 눈"
"castle-3_0",39214062983708672,"Ownerless Brain","주인 없는 뇌"
"castle-4_0",39214226192465920,"Ownerless Head","주인 없는 두개골"
"castle-5_0",39214317397606400,"Cobra","코브라"
"castle-6_0",39214530417917952,"Haunted Guard","헌티드 가드"
"castle-7_0",39214553692110848,"Viper","살모사"
"castle-8_0",39215042156560384,"Demon Core","악마핵"
"castle-9_0",39215220863270912,"Gazing Horror","주시하는 공포"
"castle-10_0",39215439348760576,"Red Potion","붉은 포션"
"castle-11_0",39215511461429248,"Humanoid","휴머노이드"
"castle-12_0",39215649902821376,"Crawling Disgust","기어가는 협오"
"castle-12_1",39215671520264192,"Crawling Hatred","기어가는 증오"
"castle-13_0",39216350271897600,"Emotion Amplifier","감정 증폭기"
"castle-14_0",39216467041320960,"Witch's Hat","마녀의 모자"
"castle-15_0",39216710474530816,"Guardian Golem","수호 골렘"
"castle-16_0",39216790858366976,"Frost Wraith","냉혼"
"castle-17_0",39216872097841152,"Whispering Maw","속삭이는 입"
"castle-18_0",39217377347895296,"Ectoplasm","엑토플라즘"
"castle-19_0",39217676506628096,"Sealed Abomination","봉인된 혐오"
"castle-20_0",39218325633892352,"Baby Demon","아기 악마"
"castle-21_0",39218347108728832,"Red Demon","붉은 악마"
"castle-22_0",39218364934520832,"Summoner","소환사"
"castle-22_1",39218382487683072,"Demon Summoner","악마 소환사"
"castle-23_0",39218432689307648,"Reaper","사신"
"castle-24_0",39218436736811008,"Calamity One","대재앙"
"special-a-0_0",100000000000000,"Golden Bat","황금 박쥐"
"special-a-0_1",100000000000001,"Golden Statue","황금 석상"
"special-a-0_2",100000000000002,"Golden Skull","황금 해골"
"special-b-0_0",100000000000010,"Microcosm A","소우주 A"
"special-b-0_1",100000000000011,"Microcosm B","소우주 B"
"special-b-0_2",100000000000012,"Microcosm C","소우주 C"
"special-c-0_0",100000000000020,"Microcosm A","소우주 A"
"special-c-0_1",100000000000021,"Microcosm B","소우주 B"
"special-c-0_2",100000000000022,"Microcosm C","소우주 C"
"special-c-0_3",100000000000023,"Microcosm D","소우주 D"
"special-c-0_4",100000000000024,"Microcosm E","소우주 E"
"boss_0",39220327583580160,"King Slime","킹 슬라임"
"boss_1",39220470768730112,"Giant Hornet","자이언트 호넷"
"boss_2",39220513164754944,"Acient Toadstool","고대의 독버섯"
"boss_3",39220651690033152,"Skull of the Pharaoh","파라오의 해골"
"boss_4",39220864651624448,"Ice King Slime","아이스 킹 슬라임"
"boss_5",39220929269071872,"Bog Devourer","보그 디바우러"
"boss_6",39221164863127552,"Gatekeeper","문지기"
"boss_7",39221211063386112,"Zombie King","좀비왕"
"boss_8",39221308853583872,"Lamia","라미아"
"boss_9",39221351186694144,"Djinn","진"
"boss_10",39221647824650240,"Succubus","서큐버스"
"boss_11",39221687867670528,"Ruler of the Devil","마물의 지배자"
