level,hp,atk,def,critRes,multiHitRes,gold,exp,bp,drops,actions
1700,10480,6291,2100,3153,3153,2040,951701,-1,,
2000,12734,7643,2550,3829,3829,2306,1209099,-1,,
2300,15057,9037,3015,4526,4526,2565,1481359,-1,,
2600,17442,10468,3492,5241,5242,2817,1766841,-1,,
2900,19882,11932,3980,5973,5974,3063,2064272,-1,,
3333,23493,14099,4702,7057,7057,3410,2512617,-1,,
3700,26629,15980,5329,7997,7998,3697,2908661,-1,,
4100,30119,18074,6027,9044,9045,4003,3355615,-1,,
4500,33677,20209,6739,10112,10112,4303,3817318,-1,,
5000,38214,22931,7646,11473,11473,4671,4413618,-1,,
5600,43779,26270,8759,13142,13143,5103,5155107,-1,,
6300,50424,30257,10088,15136,15136,5595,6052949,-1,,
7100,58200,34923,11644,17469,17469,6145,7118555,-1,,
8000,67160,40299,13436,20157,20157,6748,8363347,-1,,
5000,38214,22931,7646,11473,11473,4671,4413618,-1,,
9000,77354,46415,15474,23215,23215,7403,9798618,-1,,
17000,165920,99555,33188,49785,49785,12235,22833699,-1,,
27000,289059,173438,57815,86726,86727,17661,41939408,-1,,
38000,435598,261362,87123,130688,130689,23176,65526483,-1,,
50000,605490,363297,121102,181656,181656,28837,93630034,-1,,
1500,9021,5415,1808,2715,2715,1857,789417,-1,,
4000,29240,17547,5852,8781,8781,3927,3242449,-1,,
7500,62156,37296,12435,18655,18656,6415,7666037,-1,,
10000,87778,52669,17559,26342,26342,8044,11284262,-1,,
11333,101998,61201,20403,30608,30608,8878,13336366,-1,,
12666,116557,69937,23315,34976,34976,9693,15463703,-1,,
14000,131438,78866,26291,39440,39441,10492,17661894,-1,,
15333,146594,87959,29322,43987,43987,11275,19922623,-1,,
16666,162016,97213,32407,48614,48614,12044,22243279,-1,,
18000,177699,106622,35543,53318,53319,12802,24622035,-1,,
20000,201647,120991,40333,60503,60503,13917,28287222,-1,,
11000,98412,59050,19686,29532,29533,8672,12816411,-1,,
13000,120255,72156,24055,36085,36086,9895,16007785,-1,,
15000,142782,85672,28560,42843,42844,11080,19352096,-1,,
17000,165920,99555,33188,49785,49785,12235,22833699,-1,,
20000,201647,120991,40333,60503,60503,13917,28287222,-1,,
21300,217475,130488,43499,65251,65252,14630,30729426,-1,,
23000,238466,143082,47697,71548,71549,15549,33990021,-1,,
25100,264825,158898,52969,79456,79457,16666,38116791,-1,,
27400,294205,176526,58845,88270,88271,17868,42754476,-1,,
30000,328015,196812,65607,98413,98414,19203,48136008,-1,,
33000,367759,220658,73555,110336,110337,20715,54516631,-1,,
36000,408234,244943,81650,122479,122479,22200,61068641,-1,,
40000,463252,277954,92654,138984,138985,24142,70052867,-1,,
44444,525678,315410,105139,157712,157713,26254,80343242,-1,,
45000,533579,320150,106719,160082,160083,26516,81652371,-1,,
50000,605490,363297,121102,181656,181656,28837,93630034,-1,,
55000,687085,412254,137421,206134,206134,31362,105957271,-1,,
30000,328015,196812,65607,98413,98414,19203,48136008,-1,,
35000,394664,236801,78936,118408,118408,21708,58866293,-1,,
40000,463252,277954,92654,138984,138985,24142,70052867,-1,,
45000,533579,320150,106719,160082,160083,26516,81652371,-1,,
51111,621671,373005,124338,186510,186510,29346,96339846,-1,,
55555,687085,412254,137421,206134,206135,31362,107346071,-1,,
56800,705603,423365,141124,211690,211690,31921,110475915,-1,,
58300,728022,436816,145608,218415,218416,32591,114272940,-1,,
60000,753570,452145,150718,226080,226080,33346,118610100,-1,,
62000,783812,470290,156766,235152,235153,34230,123757718,-1,,
64300,818833,491302,163770,245658,245659,35238,129736277,-1,,
67000,860264,516161,172056,258088,258088,36413,136832675,-1,,
70000,906691,544017,181342,272016,272016,37707,144813540,-1,,
72000,937865,562722,187577,281368,281369,38564,150188697,-1,,
74000,969214,581531,193846,290773,290773,39416,155606458,-1,,
76000,1000732,600442,200150,300228,300229,40264,161065965,-1,,
78000,1032416,619453,206487,309734,309734,41106,166566396,-1,,
80000,1064264,638561,212856,319288,319288,41945,172106968,-1,,
81600,1089857,653917,217975,326966,326966,42613,176567824,-1,,
83200,1115550,669333,223114,334674,334674,43278,181053521,-1,,
84800,1141343,684808,228272,342411,342412,43941,185563704,-1,,
86500,1168854,701315,233774,350665,350665,44642,190382217,-1,,
88200,1196474,717887,239298,358951,358951,45341,195227584,-1,,
90000,1225835,735504,245171,367759,367760,46078,200386813,-1,,
93333,1280510,768309,256106,384162,384162,47434,210016838,-1,,
95000,2302072,1203360,235445,392410,392410,48109,214870053,-1,,
97000,2360352,1233825,241405,402344,402344,48916,220724498,-1,,
100000,1391043,834629,278212,417322,417322,50120,229569999,-1,,
