level,hp,atk,def,critRes,multiHitRes,gold,exp,bp,drops,actions
5000,145945,14330,7646,11473,11473,2850,4413618,-1,,
810,15623,1615,866,1303,1303,756,302229,-1,,
1100,22932,2340,1248,1875,1876,933,491258,-1,,
1400,30491,3090,1665,2500,2501,1106,711373,-1,,
1700,38052,3840,2100,3153,3153,1272,951701,-1,,
2000,47012,4730,2550,3829,3829,1432,1209099,-1,,
2300,56672,5690,3015,4526,4526,1587,1481359,-1,,
2600,66332,6650,3492,5241,5242,1738,1766841,-1,,
2900,75992,7610,3980,5973,5974,1886,2064272,-1,,
3333,89934,8995,4702,7057,7057,2094,2512617,-1,,
3700,102265,10170,5329,7997,7998,2266,2908661,-1,,
4100,115705,11450,6027,9044,9045,2449,3355615,-1,,
4500,129145,12730,6739,10112,10112,2630,3817318,-1,,
5000,145945,14330,7646,11473,11473,2850,4413618,-1,,
5600,172825,16910,8759,13142,13143,3110,5155107,-1,,
6300,204185,19920,10088,15136,15136,3405,6052949,-1,,
7100,240025,23360,11644,17469,17469,3735,7118555,-1,,
8000,280345,27230,13436,20157,20157,4097,8363347,-1,,
5000,145945,14330,7646,11473,11473,2850,4413618,-1,,
9000,325145,31530,15474,23215,23215,4490,9798618,-1,,
17000,683545,65930,33188,49785,49785,7389,22833699,-1,,
27000,1209945,117330,57815,86726,86727,10644,41939408,-1,,
38000,1915545,186630,87123,130688,130689,13954,65526483,-1,,
50000,2721945,265830,121102,181656,181656,17350,93630034,-1,,
1500,33012,3340,1808,2715,2715,1162,789417,-1,,
4000,112345,11130,5852,8781,8781,2404,3242449,-1,,
7500,257945,25080,12435,18655,18656,3897,7666037,-1,,
10000,369945,35830,17559,26342,26342,4874,11284262,-1,,
11333,429664,41561,20403,30608,30608,5375,13336366,-1,,
12666,489382,47293,23315,34976,34976,5864,15463703,-1,,
14000,549145,53030,26291,39440,39441,6343,17661894,-1,,
15333,608864,58761,29322,43987,43987,6813,19922623,-1,,
16666,668582,64493,32407,48614,48614,7274,22243279,-1,,
18000,728345,70230,35543,53318,53319,7729,24622035,-1,,
20000,817945,78830,40333,60503,60503,8398,28287222,-1,,
11000,414745,40130,19686,29532,29533,5251,12816411,-1,,
13000,504345,48730,24055,36085,36086,5985,16007785,-1,,
15000,593945,57330,28560,42843,42844,6696,19352096,-1,,
17000,683545,65930,33188,49785,49785,7389,22833699,-1,,
20000,817945,78830,40333,60503,60503,8398,28287222,-1,,
21300,890745,85980,43499,65251,65252,8826,30729426,-1,,
23000,985945,95330,47697,71548,71549,9377,33990021,-1,,
25100,1103545,106880,52969,79456,79457,10047,38116791,-1,,
27400,1232345,119530,58845,88270,88271,10769,42754476,-1,,
30000,1377945,133830,65607,98413,98414,11570,48136008,-1,,
33000,1579545,153630,73555,110336,110337,12477,54516631,-1,,
36000,1781145,173430,81650,122479,122479,13368,61068641,-1,,
40000,2049945,199830,92654,138984,138985,14533,70052867,-1,,
44444,2348582,229160,105139,157712,157713,15800,80343242,-1,,
45000,2385945,232830,106719,160082,160083,15957,81652371,-1,,
50000,2721945,265830,121102,181656,181656,17350,93630034,-1,,
55000,3113945,304830,137421,206134,206134,18715,105957271,-1,,
30000,1377945,133830,65607,98413,98414,11570,48136008,-1,,
35000,1713945,166830,78936,118408,118408,13073,58866293,-1,,
40000,2049945,199830,92654,138984,138985,14533,70052867,-1,,
45000,2385945,232830,106719,160082,160083,15957,81652371,-1,,
51111,2809048,274495,124338,186510,186510,17656,96339846,-1,,
55555,3157457,309159,137421,206134,206135,18865,107346071,-1,,
56800,3255065,318870,141124,211690,211690,19200,110475915,-1,,
58300,3372665,330570,145608,218415,218416,19603,114272940,-1,,
60000,3505945,343830,150718,226080,226080,20056,118610100,-1,,
62000,3685145,361630,156766,235152,235153,20586,123757718,-1,,
64300,3891225,382100,163770,245658,245659,21191,129736277,-1,,
67000,4133145,406130,172056,258088,258088,21896,136832675,-1,,
70000,4401945,432830,181342,272016,272016,22672,144813540,-1,,
72000,4581145,450630,187577,281368,281369,23186,150188697,-1,,
74000,4760345,468430,193846,290773,290773,23697,155606458,-1,,
76000,4939545,486230,200150,300228,300229,24206,161065965,-1,,
78000,5118745,504030,206487,309734,309734,24712,166566396,-1,,
80000,5297945,521830,212856,319288,319288,25215,172106968,-1,,
81600,5441305,536070,217975,326966,326966,25616,176567824,-1,,
83200,5584665,550310,223114,334674,334674,26015,181053521,-1,,
84800,5728025,564550,228272,342411,342412,26412,185563704,-1,,
86500,5880345,579680,233774,350665,350665,26833,190382217,-1,,
88200,6032665,594810,239298,358951,358951,27252,195227584,-1,,
90000,6193945,610830,245171,367759,367760,27694,200386813,-1,,
93333,6529912,644493,256106,384162,384162,28508,210016838,-1,,
95000,6697945,661330,235445,392410,392410,28913,214870053,-1,,
97000,6899545,681530,241405,402344,402344,29397,220724498,-1,,
100000,7201945,711830,278212,417322,417322,30120,229569999,-1,,
